Torch: 2.8.0+cu128 | CUDA: 12.8 | GPU? True | Name: Tesla V100-PCIE-32GB
bitsandbytes import error: No module named 'bitsandbytes.cuda_setup'
Testing NECOUDBFM/Jellyfish-8B on wdc_20cc...
Running zero-shot for: wdc_20cc/wdc_automotive_test.txt
[wdc_camera_and_photo_test.txt 25/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 26/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 27/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 28/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 29/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 30/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 31/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 32/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 33/199] last answer: 'Yes'
[wdc_camera_and_photo_test.txt 34/199] last answer: 'Yes'
[wdc_camera_and_photo_test.txt 35/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 36/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 37/199] last answer: 'Yes'
[wdc_camera_and_photo_test.txt 38/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 39/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 40/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 41/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 42/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 43/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 44/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 45/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 46/199] last answer: 'Yes'
[wdc_camera_and_photo_test.txt 47/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 48/199] last answer: 'Yes'
[wdc_camera_and_photo_test.txt 49/199] last answer: 'Yes'
[wdc_camera_and_photo_test.txt 50/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 51/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 52/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 53/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 54/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 55/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 56/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 57/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 58/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 59/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 60/199] last answer: 'Yes'
[wdc_camera_and_photo_test.txt 61/199] last answer: 'Yes'
[wdc_camera_and_photo_test.txt 62/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 63/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 64/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 65/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 66/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 67/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 68/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 69/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 70/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 71/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 72/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 73/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 74/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 75/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 76/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 77/199] last answer: 'Yes'
[wdc_camera_and_photo_test.txt 78/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 79/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 80/199] last answer: 'Yes'
[wdc_camera_and_photo_test.txt 81/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 82/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 83/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 84/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 85/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 86/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 87/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 88/199] last answer: 'Yes'
[wdc_camera_and_photo_test.txt 89/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 90/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 91/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 92/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 93/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 94/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 95/199] last answer: 'Yes'
[wdc_camera_and_photo_test.txt 96/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 97/199] last answer: 'Yes'
[wdc_camera_and_photo_test.txt 98/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 99/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 100/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 101/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 102/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 103/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 104/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 105/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 106/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 107/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 108/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 109/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 110/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 111/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 112/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 113/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 114/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 115/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 116/199] last answer: 'Yes'
[wdc_camera_and_photo_test.txt 117/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 118/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 119/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 120/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 121/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 122/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 123/199] last answer: 'Yes'
[wdc_camera_and_photo_test.txt 124/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 125/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 126/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 127/199] last answer: 'Yes'
[wdc_camera_and_photo_test.txt 128/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 129/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 130/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 131/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 132/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 133/199] last answer: 'Yes'
[wdc_camera_and_photo_test.txt 134/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 135/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 136/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 137/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 138/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 139/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 140/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 141/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 142/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 143/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 144/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 145/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 146/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 147/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 148/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 149/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 150/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 151/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 152/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 153/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 154/199] last answer: 'Yes'
[wdc_camera_and_photo_test.txt 155/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 156/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 157/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 158/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 159/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 160/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 161/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 162/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 163/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 164/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 165/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 166/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 167/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 168/199] last answer: 'Yes'
[wdc_camera_and_photo_test.txt 169/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 170/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 171/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 172/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 173/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 174/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 175/199] last answer: 'Yes'
[wdc_camera_and_photo_test.txt 176/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 177/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 178/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 179/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 180/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 181/199] last answer: 'Yes'
[wdc_camera_and_photo_test.txt 182/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 183/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 184/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 185/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 186/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 187/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 188/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 189/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 190/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 191/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 192/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 193/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 194/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 195/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 196/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 197/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 198/199] last answer: 'No'
[wdc_camera_and_photo_test.txt 199/199] last answer: 'No'

Domain: wdc_camera_and_photo | Backend: hf | Model: NECOUDBFM/Jellyfish-8B | Pairs: 199 | F1+: 0.7500
Running zero-shot for: wdc_20cc/wdc_cell_phones_and_accessories_test.txt
[wdc_cell_phones_and_accessories_test.txt 1/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 2/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 3/77] last answer: 'Yes'
[wdc_cell_phones_and_accessories_test.txt 4/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 5/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 6/77] last answer: 'Yes'
[wdc_cell_phones_and_accessories_test.txt 7/77] last answer: 'Yes'
[wdc_cell_phones_and_accessories_test.txt 8/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 9/77] last answer: 'Yes'
[wdc_cell_phones_and_accessories_test.txt 10/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 11/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 12/77] last answer: 'Yes'
[wdc_cell_phones_and_accessories_test.txt 13/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 14/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 15/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 16/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 17/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 18/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 19/77] last answer: 'Yes'
[wdc_cell_phones_and_accessories_test.txt 20/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 21/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 22/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 23/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 24/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 25/77] last answer: 'Yes'
[wdc_cell_phones_and_accessories_test.txt 26/77] last answer: 'Yes'
[wdc_cell_phones_and_accessories_test.txt 27/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 28/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 29/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 30/77] last answer: 'Yes'
[wdc_cell_phones_and_accessories_test.txt 31/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 32/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 33/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 34/77] last answer: 'Yes'
[wdc_cell_phones_and_accessories_test.txt 35/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 36/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 37/77] last answer: 'Yes'
[wdc_cell_phones_and_accessories_test.txt 38/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 39/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 40/77] last answer: 'Yes'
[wdc_cell_phones_and_accessories_test.txt 41/77] last answer: 'Yes'
[wdc_cell_phones_and_accessories_test.txt 42/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 43/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 44/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 45/77] last answer: 'Yes'
[wdc_cell_phones_and_accessories_test.txt 46/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 47/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 48/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 49/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 50/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 51/77] last answer: 'Yes'
[wdc_cell_phones_and_accessories_test.txt 52/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 53/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 54/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 55/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 56/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 57/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 58/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 59/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 60/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 61/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 62/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 63/77] last answer: 'Yes'
[wdc_cell_phones_and_accessories_test.txt 64/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 65/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 66/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 67/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 68/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 69/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 70/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 71/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 72/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 73/77] last answer: 'Yes'
[wdc_cell_phones_and_accessories_test.txt 74/77] last answer: 'Yes'
[wdc_cell_phones_and_accessories_test.txt 75/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 76/77] last answer: 'No'
[wdc_cell_phones_and_accessories_test.txt 77/77] last answer: 'No'

Domain: wdc_cell_phones_and_accessories | Backend: hf | Model: NECOUDBFM/Jellyfish-8B | Pairs: 77 | F1+: 0.7429
Running zero-shot for: wdc_20cc/wdc_clothing_test.txt
[wdc_clothing_test.txt 1/9] last answer: 'No'
[wdc_clothing_test.txt 2/9] last answer: 'No'
[wdc_clothing_test.txt 3/9] last answer: 'Yes'
[wdc_clothing_test.txt 4/9] last answer: 'No'
[wdc_clothing_test.txt 5/9] last answer: 'No'
[wdc_clothing_test.txt 6/9] last answer: 'No'
[wdc_clothing_test.txt 7/9] last answer: 'Yes'
[wdc_clothing_test.txt 8/9] last answer: 'Yes'
[wdc_clothing_test.txt 9/9] last answer: 'No'

Domain: wdc_clothing | Backend: hf | Model: NECOUDBFM/Jellyfish-8B | Pairs: 9 | F1+: 0.7500
Running zero-shot for: wdc_20cc/wdc_computers_and_accessories_test.txt
[wdc_computers_and_accessories_test.txt 1/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 2/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 3/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 4/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 5/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 6/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 7/332] last answer: 'Yes'
[wdc_computers_and_accessories_test.txt 8/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 9/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 10/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 11/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 12/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 13/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 14/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 15/332] last answer: 'Yes'
[wdc_computers_and_accessories_test.txt 16/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 17/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 18/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 19/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 20/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 21/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 22/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 23/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 24/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 25/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 26/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 27/332] last answer: 'Yes'
[wdc_computers_and_accessories_test.txt 28/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 29/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 30/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 31/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 32/332] last answer: 'Yes'
[wdc_computers_and_accessories_test.txt 33/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 34/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 35/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 36/332] last answer: 'Yes'
[wdc_computers_and_accessories_test.txt 37/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 38/332] last answer: 'Yes'
[wdc_computers_and_accessories_test.txt 39/332] last answer: 'Yes'
[wdc_computers_and_accessories_test.txt 40/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 41/332] last answer: 'Yes'
[wdc_computers_and_accessories_test.txt 42/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 43/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 44/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 45/332] last answer: 'Yes'
[wdc_computers_and_accessories_test.txt 46/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 47/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 48/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 49/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 50/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 51/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 52/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 53/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 54/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 55/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 56/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 57/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 58/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 59/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 60/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 61/332] last answer: 'Yes'
[wdc_computers_and_accessories_test.txt 62/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 63/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 64/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 65/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 66/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 67/332] last answer: 'Yes'
[wdc_computers_and_accessories_test.txt 68/332] last answer: 'Yes'
[wdc_computers_and_accessories_test.txt 69/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 70/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 71/332] last answer: 'Yes'
[wdc_computers_and_accessories_test.txt 72/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 73/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 74/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 75/332] last answer: 'Yes'
[wdc_computers_and_accessories_test.txt 76/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 77/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 78/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 79/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 80/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 81/332] last answer: 'Yes'
[wdc_computers_and_accessories_test.txt 82/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 83/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 84/332] last answer: 'Yes'
[wdc_computers_and_accessories_test.txt 85/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 86/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 87/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 88/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 89/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 90/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 91/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 92/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 93/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 94/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 95/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 96/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 97/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 98/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 99/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 100/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 101/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 102/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 103/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 104/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 105/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 106/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 107/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 108/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 109/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 110/332] last answer: 'No'
[wdc_computers_and_accessories_test.txt 111/332] last answer: 'No'
